bacterial infections and mycoses,c01
hepatolenticular degeneration,c10.228.140.163.100.360
hereditary central nervous system demyelinating diseases,c10.228.140.163.100.362
adrenoleukodystrophy,c10.228.140.163.100.362.250
alexander disease,c10.228.140.163.100.362.312
canavan disease,c10.228.140.163.100.362.375
"leukodystrophy, globoid cell",c10.228.140.163.100.362.500
"leukodystrophy, metachromatic",c10.228.140.163.100.362.550
pelizaeus-merzbacher disease,c10.228.140.163.100.362.775
homocystinuria,c10.228.140.163.100.365
"hyperglycinemia, nonketotic",c10.228.140.163.100.375
hyperlysinemias,c10.228.140.163.100.380
leigh disease,c10.228.140.163.100.412
lesch-nyhan syndrome,c10.228.140.163.100.425
"lysosomal storage diseases, nervous system",c10.228.140.163.100.435
fucosidosis,c10.228.140.163.100.435.295
glycogen storage disease type ii,c10.228.140.163.100.435.340
mucolipidoses,c10.228.140.163.100.435.590
sialic acid storage disease,c10.228.140.163.100.435.810
sphingolipidoses,c10.228.140.163.100.435.825
fabry disease,c10.228.140.163.100.435.825.200
farber lipogranulomatosis,c10.228.140.163.100.435.825.250
gangliosidoses,c10.228.140.163.100.435.825.300
"gangliosidoses, gm2",c10.228.140.163.100.435.825.300.300
sandhoff disease,c10.228.140.163.100.435.825.300.300.249
tay-sachs disease,c10.228.140.163.100.435.825.300.300.500
"tay-sachs disease, ab variant",c10.228.140.163.100.435.825.300.300.750
"gangliosidosis, gm1",c10.228.140.163.100.435.825.300.400
gaucher disease,c10.228.140.163.100.435.825.400
"leukodystrophy, globoid cell",c10.228.140.163.100.435.825.590
niemann-pick diseases,c10.228.140.163.100.435.825.700
"niemann-pick disease, type a",c10.228.140.163.100.435.825.700.500
"niemann-pick disease, type b",c10.228.140.163.100.435.825.700.750
"niemann-pick disease, type c",c10.228.140.163.100.435.825.700.875
sea-blue histiocyte syndrome,c10.228.140.163.100.435.825.775
sulfatidosis,c10.228.140.163.100.435.825.850
"leukodystrophy, metachromatic",c10.228.140.163.100.435.825.850.500
multiple sulfatase deficiency disease,c10.228.140.163.100.435.825.850.750
maple syrup urine disease,c10.228.140.163.100.520
melas syndrome,c10.228.140.163.100.535
menkes kinky hair syndrome,c10.228.140.163.100.540
merrf syndrome,c10.228.140.163.100.545
mevalonate kinase deficiency,c10.228.140.163.100.593
oculocerebrorenal syndrome,c10.228.140.163.100.640
phenylketonurias,c10.228.140.163.100.687
"phenylketonuria, maternal",c10.228.140.163.100.687.500
pyruvate carboxylase deficiency disease,c10.228.140.163.100.725
pyruvate dehydrogenase complex deficiency disease,c10.228.140.163.100.750
refsum disease,c10.228.140.163.100.813
"refsum disease, infantile",c10.228.140.163.100.844
tyrosinemias,c10.228.140.163.100.875
"urea cycle disorders, inborn",c10.228.140.163.100.937
argininosuccinic aciduria,c10.228.140.163.100.937.124
carbamoyl-phosphate synthase i deficiency disease,c10.228.140.163.100.937.249
citrullinemia,c10.228.140.163.100.937.374
hyperargininemia,c10.228.140.163.100.937.500
ornithine carbamoyltransferase deficiency disease,c10.228.140.163.100.937.750
zellweger syndrome,c10.228.140.163.100.968
hepatic encephalopathy,c10.228.140.163.360
kernicterus,c10.228.140.163.480
marchiafava-bignami disease,c10.228.140.163.510
mitochondrial encephalomyopathies,c10.228.140.163.540
"myelinolysis, central pontine",c10.228.140.163.560
reye syndrome,c10.228.140.163.780
wernicke encephalopathy,c10.228.140.163.960
brain edema,c10.228.140.187
brain injuries,c10.228.140.199
"brain hemorrhage, traumatic",c10.228.140.199.275
"brain stem hemorrhage, traumatic",c10.228.140.199.275.200
"cerebral hemorrhage, traumatic",c10.228.140.199.275.300
"brain injuries, diffuse",c10.228.140.199.388
diffuse axonal injury,c10.228.140.199.388.500
"brain injuries, traumatic",c10.228.140.199.444
brain concussion,c10.228.140.199.444.250
brain contusion,c10.228.140.199.444.375
chronic traumatic encephalopathy,c10.228.140.199.444.500
"brain injury, chronic",c10.228.140.199.500
chronic traumatic encephalopathy,c10.228.140.199.500.500
"epilepsy, post-traumatic",c10.228.140.199.650
pneumocephalus,c10.228.140.199.700
brain neoplasms,c10.228.140.211
cerebral ventricle neoplasms,c10.228.140.211.280
choroid plexus neoplasms,c10.228.140.211.280.300
"papilloma, choroid plexus",c10.228.140.211.280.300.500
infratentorial neoplasms,c10.228.140.211.500
brain stem neoplasms,c10.228.140.211.500.100
cerebellar neoplasms,c10.228.140.211.500.200
neurocytoma,c10.228.140.211.692
pinealoma,c10.228.140.211.788
supratentorial neoplasms,c10.228.140.211.885
hypothalamic neoplasms,c10.228.140.211.885.500
pallister-hall syndrome,c10.228.140.211.885.500.299
pituitary neoplasms,c10.228.140.211.885.500.600
cerebellar diseases,c10.228.140.252
cerebellar ataxia,c10.228.140.252.190
spinocerebellar ataxias,c10.228.140.252.190.530
ataxia telangiectasia,c10.228.140.252.190.530.060
machado-joseph disease,c10.228.140.252.190.530.530
cerebellar neoplasms,c10.228.140.252.200
dandy-walker syndrome,c10.228.140.252.300
miller fisher syndrome,c10.228.140.252.500
paraneoplastic cerebellar degeneration,c10.228.140.252.620
spinocerebellar degenerations,c10.228.140.252.700
friedreich ataxia,c10.228.140.252.700.150
myoclonic cerebellar dyssynergia,c10.228.140.252.700.250
olivopontocerebellar atrophies,c10.228.140.252.700.650
spinocerebellar ataxias,c10.228.140.252.700.700
machado-joseph disease,c10.228.140.252.700.700.500
cerebrovascular disorders,c10.228.140.300
basal ganglia cerebrovascular disease,c10.228.140.300.100
basal ganglia hemorrhage,c10.228.140.300.100.200
putaminal hemorrhage,c10.228.140.300.100.200.500
brain ischemia,c10.228.140.300.150
brain infarction,c10.228.140.300.150.477
brain stem infarctions,c10.228.140.300.150.477.100
lateral medullary syndrome,c10.228.140.300.150.477.100.500
cerebral infarction,c10.228.140.300.150.477.200
"dementia, multi-infarct",c10.228.140.300.150.477.200.199
"infarction, anterior cerebral artery",c10.228.140.300.150.477.200.400
"infarction, middle cerebral artery",c10.228.140.300.150.477.200.450
"infarction, posterior cerebral artery",c10.228.140.300.150.477.200.475
"hypoxia-ischemia, brain",c10.228.140.300.150.716
"ischemic attack, transient",c10.228.140.300.150.836
vertebrobasilar insufficiency,c10.228.140.300.150.956
subclavian steal syndrome,c10.228.140.300.150.956.700
carotid artery diseases,c10.228.140.300.200
carotid artery injuries,c10.228.140.300.200.345
"carotid artery, internal, dissection",c10.228.140.300.200.345.300
carotid artery thrombosis,c10.228.140.300.200.355
carotid stenosis,c10.228.140.300.200.360
carotid-cavernous sinus fistula,c10.228.140.300.200.480
moyamoya disease,c10.228.140.300.200.600
cerebral small vessel diseases,c10.228.140.300.275
cadasil,c10.228.140.300.275.249
"cerebral amyloid angiopathy, familial",c10.228.140.300.275.311
fabry disease,c10.228.140.300.275.374
melas syndrome,c10.228.140.300.275.500
microscopic polyangiitis,c10.228.140.300.275.600
"stroke, lacunar",c10.228.140.300.275.800
cerebrovascular trauma,c10.228.140.300.350
carotid artery injuries,c10.228.140.300.350.500
"carotid artery, internal, dissection",c10.228.140.300.350.500.300
carotid-cavernous sinus fistula,c10.228.140.300.350.500.350
vertebral artery dissection,c10.228.140.300.350.875
"dementia, vascular",c10.228.140.300.400
cadasil,c10.228.140.300.400.203
"dementia, multi-infarct",c10.228.140.300.400.408
intracranial arterial diseases,c10.228.140.300.510
cerebral arterial diseases,c10.228.140.300.510.200
cadasil,c10.228.140.300.510.200.175
cerebral amyloid angiopathy,c10.228.140.300.510.200.200
"cerebral amyloid angiopathy, familial",c10.228.140.300.510.200.200.160
"infarction, anterior cerebral artery",c10.228.140.300.510.200.325
"infarction, middle cerebral artery",c10.228.140.300.510.200.387
"infarction, posterior cerebral artery",c10.228.140.300.510.200.418
moyamoya disease,c10.228.140.300.510.200.737
intracranial aneurysm,c10.228.140.300.510.600
intracranial arteriosclerosis,c10.228.140.300.510.800
"dementia, vascular",c10.228.140.300.510.800.500
intracranial arteriovenous malformations,c10.228.140.300.520
vein of galen malformations,c10.228.140.300.520.500
intracranial embolism and thrombosis,c10.228.140.300.525
intracranial embolism,c10.228.140.300.525.400
intracranial thrombosis,c10.228.140.300.525.425
"sinus thrombosis, intracranial",c10.228.140.300.525.425.500
cavernous sinus thrombosis,c10.228.140.300.525.425.500.375
lateral sinus thrombosis,c10.228.140.300.525.425.500.562
sagittal sinus thrombosis,c10.228.140.300.525.425.500.750
intracranial hemorrhages,c10.228.140.300.535
cerebral hemorrhage,c10.228.140.300.535.200
basal ganglia hemorrhage,c10.228.140.300.535.200.150
putaminal hemorrhage,c10.228.140.300.535.200.150.500
"cerebral hemorrhage, traumatic",c10.228.140.300.535.200.200
cerebral intraventricular hemorrhage,c10.228.140.300.535.200.600
"intracranial hemorrhage, hypertensive",c10.228.140.300.535.325
"intracranial hemorrhage, traumatic",c10.228.140.300.535.450
"brain hemorrhage, traumatic",c10.228.140.300.535.450.200
"brain stem hemorrhage, traumatic",c10.228.140.300.535.450.200.500
"cerebral hemorrhage, traumatic",c10.228.140.300.535.450.200.750
"hematoma, epidural, cranial",c10.228.140.300.535.450.300
"hematoma, subdural",c10.228.140.300.535.450.400
"hematoma, subdural, acute",c10.228.140.300.535.450.400.050
"hematoma, subdural, chronic",c10.228.140.300.535.450.400.120
"hematoma, subdural, intracranial",c10.228.140.300.535.450.400.400
"subarachnoid hemorrhage, traumatic",c10.228.140.300.535.450.650
pituitary apoplexy,c10.228.140.300.535.625
subarachnoid hemorrhage,c10.228.140.300.535.800
"subarachnoid hemorrhage, traumatic",c10.228.140.300.535.800.700
"leukomalacia, periventricular",c10.228.140.300.700
sneddon syndrome,c10.228.140.300.750
stroke,c10.228.140.300.775
brain infarction,c10.228.140.300.775.200
brain stem infarctions,c10.228.140.300.775.200.100
lateral medullary syndrome,c10.228.140.300.775.200.100.500
cerebral infarction,c10.228.140.300.775.200.200
"dementia, multi-infarct",c10.228.140.300.775.200.200.199
"infarction, anterior cerebral artery",c10.228.140.300.775.200.200.400
"infarction, middle cerebral artery",c10.228.140.300.775.200.200.450
"infarction, posterior cerebral artery",c10.228.140.300.775.200.200.475
"stroke, lacunar",c10.228.140.300.775.600
susac syndrome,c10.228.140.300.787
vascular headaches,c10.228.140.300.800
"vasculitis, central nervous system",c10.228.140.300.850
"aids arteritis, central nervous system",c10.228.140.300.850.125
giant cell arteritis,c10.228.140.300.850.500
"lupus vasculitis, central nervous system",c10.228.140.300.850.750
"vasospasm, intracranial",c10.228.140.300.900
dementia,c10.228.140.380
aids dementia complex,c10.228.140.380.070
alzheimer disease,c10.228.140.380.100
"aphasia, primary progressive",c10.228.140.380.132
primary progressive nonfluent aphasia,c10.228.140.380.132.600
creutzfeldt-jakob syndrome,c10.228.140.380.165
"dementia, vascular",c10.228.140.380.230
cadasil,c10.228.140.380.230.124
"dementia, multi-infarct",c10.228.140.380.230.250
diffuse neurofibrillary tangles with calcification,c10.228.140.380.254
frontotemporal lobar degeneration,c10.228.140.380.266
frontotemporal dementia,c10.228.140.380.266.299
pick disease of the brain,c10.228.140.380.266.299.500
primary progressive nonfluent aphasia,c10.228.140.380.266.600
huntington disease,c10.228.140.380.278
kluver-bucy syndrome,c10.228.140.380.326
lewy body disease,c10.228.140.380.422
diffuse cerebral sclerosis of schilder,c10.228.140.400
encephalitis,c10.228.140.430
anti-n-methyl-d-aspartate receptor encephalitis,c10.228.140.430.124
cerebral ventriculitis,c10.228.140.430.249
infectious encephalitis,c10.228.140.430.520
"encephalitis, viral",c10.228.140.430.520.750
"encephalitis, arbovirus",c10.228.140.430.520.750.300
"encephalitis, california",c10.228.140.430.520.750.300.200
"encephalitis, japanese",c10.228.140.430.520.750.300.400
"encephalitis, st. louis",c10.228.140.430.520.750.300.550
"encephalitis, tick-borne",c10.228.140.430.520.750.300.775
west nile fever,c10.228.140.430.520.750.300.887
"encephalitis, herpes simplex",c10.228.140.430.520.750.350
"encephalitis, varicella zoster",c10.228.140.430.520.750.400
"encephalomyelitis, equine",c10.228.140.430.520.750.450
"encephalomyelitis, eastern equine",c10.228.140.430.520.750.450.200
"encephalomyelitis, venezuelan equine",c10.228.140.430.520.750.450.600
"encephalomyelitis, western equine",c10.228.140.430.520.750.450.800
"leukoencephalopathy, progressive multifocal",c10.228.140.430.520.750.500
subacute sclerosing panencephalitis,c10.228.140.430.520.750.600
limbic encephalitis,c10.228.140.430.525
meningoencephalitis,c10.228.140.430.550
"lupus vasculitis, central nervous system",c10.228.140.430.550.500
encephalomalacia,c10.228.140.461
"leukomalacia, periventricular",c10.228.140.461.550
epilepsy,c10.228.140.490
drug resistant epilepsy,c10.228.140.490.125
"epilepsies, partial",c10.228.140.490.360
"epilepsy, complex partial",c10.228.140.490.360.260
"epilepsy, frontal lobe",c10.228.140.490.360.270
"epilepsy, partial, motor",c10.228.140.490.360.272
"epilepsy, partial, sensory",c10.228.140.490.360.275
"epilepsy, rolandic",c10.228.140.490.360.280
"epilepsy, temporal lobe",c10.228.140.490.360.290
"epilepsy, benign neonatal",c10.228.140.490.370
"epilepsy, generalized",c10.228.140.490.375
"epilepsies, myoclonic",c10.228.140.490.375.130
"myoclonic epilepsies, progressive",c10.228.140.490.375.130.650
lafora disease,c10.228.140.490.375.130.650.500
merrf syndrome,c10.228.140.490.375.130.650.700
unverricht-lundborg syndrome,c10.228.140.490.375.130.650.900
"myoclonic epilepsy, juvenile",c10.228.140.490.375.130.670
"epilepsy, absence",c10.228.140.490.375.260
"epilepsy, tonic-clonic",c10.228.140.490.375.290
nodding syndrome,c10.228.140.490.375.525
"spasms, infantile",c10.228.140.490.375.760
"epilepsy, post-traumatic",c10.228.140.490.380
"epilepsy, reflex",c10.228.140.490.450
epileptic syndromes,c10.228.140.490.493
"epilepsies, myoclonic",c10.228.140.490.493.063
"myoclonic epilepsies, progressive",c10.228.140.490.493.063.650
lafora disease,c10.228.140.490.493.063.650.500
merrf syndrome,c10.228.140.490.493.063.650.700
unverricht-lundborg syndrome,c10.228.140.490.493.063.650.900
"myoclonic epilepsy, juvenile",c10.228.140.490.493.063.670
"epilepsy, absence",c10.228.140.490.493.125
"epilepsy, frontal lobe",c10.228.140.490.493.188
"epilepsy, rolandic",c10.228.140.490.493.250
"epilepsy, temporal lobe",c10.228.140.490.493.375
landau-kleffner syndrome,c10.228.140.490.493.500
lennox gastaut syndrome,c10.228.140.490.493.750
"spasms, infantile",c10.228.140.490.493.875
headache disorders,c10.228.140.546
"headache disorders, primary",c10.228.140.546.399
migraine disorders,c10.228.140.546.399.750
alice in wonderland syndrome,c10.228.140.546.399.750.124
migraine with aura,c10.228.140.546.399.750.250
migraine without aura,c10.228.140.546.399.750.450
ophthalmoplegic migraine,c10.228.140.546.399.750.725
tension-type headache,c10.228.140.546.399.875
trigeminal autonomic cephalalgias,c10.228.140.546.399.937
cluster headache,c10.228.140.546.399.937.500
paroxysmal hemicrania,c10.228.140.546.399.937.750
sunct syndrome,c10.228.140.546.399.937.875
"headache disorders, secondary",c10.228.140.546.699
post-dural puncture headache,c10.228.140.546.699.124
post-traumatic headache,c10.228.140.546.699.249
vascular headaches,c10.228.140.546.699.500
hydrocephalus,c10.228.140.602
dandy-walker syndrome,c10.228.140.602.500
"hydrocephalus, normal pressure",c10.228.140.602.750
hypothalamic diseases,c10.228.140.617
bardet-biedl syndrome,c10.228.140.617.200
hypothalamic neoplasms,c10.228.140.617.477
pallister-hall syndrome,c10.228.140.617.477.299
pituitary neoplasms,c10.228.140.617.477.600
laurence-moon syndrome,c10.228.140.617.500
pituitary diseases,c10.228.140.617.738
empty sella syndrome,c10.228.140.617.738.200
hyperpituitarism,c10.228.140.617.738.250
acromegaly,c10.228.140.617.738.250.100
hyperprolactinemia,c10.228.140.617.738.250.450
pituitary acth hypersecretion,c10.228.140.617.738.250.725
hypophysitis,c10.228.140.617.738.275
autoimmune hypophysitis,c10.228.140.617.738.275.500
hypopituitarism,c10.228.140.617.738.300
"dwarfism, pituitary",c10.228.140.617.738.300.300
inappropriate adh syndrome,c10.228.140.617.738.320
pituitary apoplexy,c10.228.140.617.738.350
pituitary neoplasms,c10.228.140.617.738.675
acth-secreting pituitary adenoma,c10.228.140.617.738.675.149
nelson syndrome,c10.228.140.617.738.675.149.500
growth hormone-secreting pituitary adenoma,c10.228.140.617.738.675.299
