hsa-mir-142,nephrotic syndrome
hsa-mir-595,chorioamnionitis
hsa-mir-655,"lymphoma, mantle-cell"
hsa-mir-579,metabolic diseases
hsa-mir-450a-2,leprosy
hsa-mir-1269a,fever
hsa-mir-302a,peripheral vascular diseases
hsa-mir-4717,"mastocytosis, systemic"
hsa-mir-635,cytomegalovirus infections
hsa-mir-657,pituitary neoplasms
hsa-mir-302c,"rhinitis, vasomotor"
hsa-mir-4742,breast neoplasms
hsa-mir-365a,"carcinoma, hepatocellular, hcv-related"
hsa-mir-3161,oral submucous fibrosis
hsa-mir-25,cholestasis
hsa-mir-1252,hypogonadism
hsa-mir-5100,corneal neovascularization
hsa-mir-4490,rheumatic heart disease
hsa-mir-3117,digeorge syndrome
hsa-mir-3170,"lymphohistiocytosis, hemophagocytic"
hsa-mir-7706,"diabetes mellitus, type 1"
hsa-mir-1468,bile duct neoplasms
hsa-mir-1203,"sarcoma, ewing"
hsa-mir-4508,pancreatic neoplasms
hsa-mir-1265,diabetic cataract
hsa-mir-1202,"rhinitis, allergic"
hsa-mir-504,autoimmune lymphoproliferative syndrome
hsa-mir-600,hearing disorders
hsa-mir-4726,proliferative glomerulonephritis
hsa-mir-29b-1,glioma
hsa-mir-617,small cell lung carcinoma
hsa-mir-613,anus neoplasms
hsa-mir-134,"muscular atrophy, spinal"
hsa-mir-106b,leishmaniasis
hsa-mir-1296,"adenocarcinoma, colon"
hsa-mir-1265,sertoli cell-only syndrome
hsa-mir-330,multiple sclerosis
hsa-mir-668,uterine neoplasms
hsa-mir-222,"abortion, spontaneous"
hsa-mir-411,papillomaviridae
hsa-mir-526b,small cell lung carcinoma
hsa-mir-370,light-induced retinal injury
hsa-mir-320e,"pregnancy, ectopic"
hsa-mir-28,x-linked alport syndrome
hsa-mir-30b,dermatomyositis
hsa-mir-1282,celiac disease
hsa-mir-600,seminoma
hsa-mir-517a,"liposarcoma, myxoid"
hsa-mir-4746,chorioamnionitis
hsa-mir-218-2,"arthritis, rheumatoid"
hsa-let-7a-1,"colorectal neoplasms, hereditary nonpolyposis"
hsa-mir-4458,retinoblastoma
hsa-mir-3188,"gastritis, atrophic"
hsa-mir-3189,"obstetric labor, premature"
hsa-mir-371a,amyotrophic lateral sclerosis
hsa-mir-4782,pelvic organ prolapse
hsa-mir-2355,"squamous cell carcinoma, lung"
hsa-mir-544a,"adenocarcinoma, sebaceous"
hsa-mir-302e,malt lymphoma
hsa-mir-548d-2,cholestasis
hsa-mir-507,pelvic inflammatory disease
hsa-mir-4753,hypersensitivity
hsa-mir-515-1,b-cell childhood acute lymphoblastic leukemia
hsa-mir-761,inherited hemoglobin disease
hsa-mir-1249,autism spectrum disorder
hsa-mir-367,"squamous cell carcinoma, skin or unspecific"
hsa-mir-1286,migraine disorders
hsa-mir-4784,dengue
hsa-mir-382,"cardiomyopathy, dilated"
hsa-mir-628,recurrent wheezing
hsa-mir-1202,"rhabdomyosarcoma, alveolar"
hsa-mir-4257,endometrial neoplasms
hsa-mir-4656,growth disorders
hsa-mir-648,"hamartoma syndrome, multiple"
hsa-mir-642b,primary myelofibrosis
hsa-mir-548j,hepatitis e
hsa-mir-764,"carcinoma, merkel cell"
hsa-mir-548e,chromosome 15q13.3 microdeletion syndrome
hsa-mir-1234,diabetic angiopathies
hsa-mir-934,non-syndromic orofacial clefts
hsa-mir-1285-1,hemoglobin sc disease
hsa-mir-1228,uveitis
hsa-mir-517c,"carcinoma, nasopharyngeal"
hsa-mir-643,ocular motility disorders
hsa-mir-1306,demyelinating diseases
hsa-mir-4534,uterine corpus serous adenocarcinoma
hsa-mir-425,"carcinoma, basal cell"
hsa-mir-2861,"stress disorders, post-traumatic"
hsa-mir-487b,becker muscular dystrophy
hsa-mir-24-1,ovarian diseases
hsa-mir-610,idiopathic scoliosis
hsa-mir-3622a,autoimmune lymphoproliferative syndrome
hsa-mir-1238,arterial calcification of infancy
hsa-mir-3925,"leukemia, lymphoblastic, acute, t-cell"
hsa-mir-200c,"cystitis, interstitial"
hsa-mir-221,"fatigue syndrome, chronic"
hsa-mir-519d,"neoplasms, neuroepithelial"
hsa-mir-941-4,"adenocarcinoma, colon"
hsa-mir-382,brain diseases
hsa-mir-4446,diabetic nephropathies
hsa-mir-30c-1,adrenal cortex neoplasms
hsa-mir-125a,glomerulonephritis
hsa-mir-194-2,intraductal papillary mucinous neoplasms
hsa-mir-500a,dengue
hsa-mir-3201,skin injury
hsa-mir-454,status epilepticus
hsa-mir-346,chronic cerebral hypoperfusion
hsa-mir-7-3,hiv-associated lipodystrophy syndrome
hsa-mir-513c,giant cell tumor of bone
hsa-mir-3157,"hepatitis, alcoholic"
hsa-mir-494,lesch-nyhan syndrome
hsa-mir-1302-8,congenital deafness
hsa-mir-1179,severe acute respiratory syndrome
hsa-mir-4306,cholesteatoma
hsa-mir-5586,periodontal diseases
hsa-mir-3686,lofgren syndrome
hsa-mir-4446,x-linked alport syndrome
hsa-mir-148a,"enterocolitis, necrotizing"
hsa-mir-1324,"colorectal neoplasms, hereditary nonpolyposis"
hsa-mir-509-1,meningioma
hsa-mir-563,"leukemia, biphenotypic, acute"
hsa-mir-6861,gastric cardia adenocarcinoma
hsa-mir-181a-2,"squamous cell carcinoma, skin or unspecific"
hsa-mir-7705,small cell lung carcinoma
hsa-mir-595,cytomegalovirus infections
hsa-mir-3649,"carcinoma, ovarian"
hsa-mir-16-2,macular degeneration
hsa-mir-23b,hyperlipidemias
hsa-mir-4429,"adenocarcinoma, sebaceous"
hsa-mir-1207,listeriosis
hsa-mir-3662,"leishmaniasis, visceral"
hsa-mir-586,evans syndrome
hsa-mir-761,"carcinoma, thyroid, medullary"
hsa-mir-1302-6,neuroinflammation
hsa-mir-19b-2,rhabdoid tumor
hsa-mir-502,diabetic foot
hsa-mir-151b,alcoholism
hsa-mir-4496,pulmonary fibrosis
hsa-mir-1228,"carcinoma, gingival"
hsa-mir-3611,mandibular prognathism
hsa-mir-525,macular degeneration
hsa-mir-378g,hidradenitis suppurativa
hsa-mir-744,penis carcinoma
hsa-mir-4436b-2,acute lung injury
hsa-mir-4764,breast neoplasms
hsa-mir-194-2,"encephalitis viruses, japanese"
hsa-mir-190a,"neoplasms, germ cell and embryonal"
hsa-mir-548t,uveal melanoma
hsa-mir-636,retinitis pigmentosa
hsa-mir-548d-1,liver diseases
hsa-mir-129-2,"lymphohistiocytosis, hemophagocytic"
hsa-mir-621,skin neoplasms
hsa-mir-595,"squamous cell carcinoma, laryngeal or hypopharyngeal"
hsa-mir-297,medulloblastoma
hsa-mir-193b,glomerulonephritis
hsa-mir-608,hyperaldosteronism
hsa-mir-550a-3,osteoarthritis
hsa-mir-1915,anxiety
hsa-mir-557,malt lymphoma
hsa-mir-548am,musculoskeletal abnormalities
hsa-mir-711,"carcinoma, oral"
hsa-mir-370,"mastocytosis, systemic"
hsa-mir-181b-2,"thrombocythemia, essential"
hsa-mir-6508,polycystic kidney diseases
hsa-mir-602,"squamous cell carcinoma, cerevial"
hsa-mir-376a-2,"dermatitis, atopic"
hsa-mir-500b,early-stage colon adenocarcinoma
hsa-mir-934,supraglottitis
hsa-mir-1471,multiple endocrine neoplasia type 1
hsa-mir-1302-7,"adenocarcinoma, sebaceous"
hsa-mir-423,peripheral nerve injuries
hsa-mir-433,"adenocarcinoma, lung"
hsa-mir-206,bone neoplasms
hsa-mir-1265,"carcinoma, gastrooesophageal"
hsa-mir-497,myocardial reperfusion injury
hsa-mir-96,hemangioma
hsa-mir-145,glomerulonephritis
hsa-mir-3663,"carcinoma, renal cell, clear-cell"
hsa-mir-656,pituitary neoplasms
hsa-mir-599,diabetes mellitus
hsa-mir-195,myxoma
hsa-mir-3196,neurilemmoma
hsa-mir-4449,hypercholesterolemia
hsa-mir-493,"child development disorders, pervasive"
hsa-mir-199a-1,diabetic cataract
hsa-mir-1302-4,myeloproliferative neoplasms
hsa-mir-873,"carcinoma, transitional cell"
hsa-mir-7109,gaucher disease
hsa-mir-4497,salivary gland neoplasms
hsa-mir-4672,"carcinoma, endometrioid"
hsa-mir-137,penis carcinoma
hsa-mir-592,creutzfeldt-jakob syndrome
hsa-mir-1915,tongue neoplasms
hsa-mir-5692b,early-stage gastric carcinoma
hsa-mir-1269a,reproductive system disease
hsa-mir-1915,"fatigue syndrome, chronic"
hsa-let-7b,vulvar squamous cell carcinoma
hsa-mir-548e,gastric cardia adenocarcinoma
hsa-mir-3619,"leukemia, lymphocytic, chronic, b-cell"
hsa-mir-195,silicosis
hsa-mir-519e,status epilepticus
hsa-mir-326,pediatric ependymoma
hsa-mir-429,otitis media
hsa-mir-1178,retinitis pigmentosa
hsa-mir-1296,hypogonadism
hsa-mir-208b,peripheral vascular diseases
hsa-mir-1302-6,barrett esophagus
hsa-mir-1276,rectal neoplasms
hsa-mir-761,hepatitis c
hsa-mir-504,anxiety disorders
hsa-mir-409,"leukemia, biphenotypic, acute"
hsa-mir-629,hellp syndrome
hsa-mir-4644,pulmonary fibrosis
hsa-mir-519e,"squamous cell carcinoma, laryngeal or hypopharyngeal"
hsa-mir-487a,brain diseases
hsa-mir-142,"carcinoma, islet cell"
hsa-mir-3663,gastrointestinal neoplasms
hsa-mir-4446,kaposi varicelliform eruption
hsa-mir-487b,"squamous cell carcinoma, skin or unspecific"
hsa-mir-4709,burns
hsa-mir-103b-2,graft rejection
hsa-mir-5009,venous thromboembolism
hsa-mir-548t,"leprosy, lepromatous"
hsa-mir-499a,testicular neoplasms
hsa-mir-144,rhabdomyosarcoma
hsa-mir-149,hearing disorders
hsa-mir-24-2,lupus vulgaris
hsa-mir-6729,acute lung injury
hsa-mir-431,"squamous cell carcinoma, sinonasal"
hsa-mir-769,"niemann-pick disease, type c"
hsa-mir-761,"heart defects, congenital"
hsa-mir-2861,childhood leukemia
hsa-mir-1245a,anxiety disorders
hsa-mir-651,sebaceous carcinoma
hsa-mir-1236,azoospermia
hsa-mir-1207,acute heart failure
hsa-mir-4443,wound inflammation
hsa-mir-1226,follicular atresia
hsa-mir-1273c,frontotemporal lobar degeneration
hsa-mir-3201,aortic valve stenosis
hsa-mir-3196,precursor cell lymphoblastic leukemia-lymphoma
hsa-mir-199a-1,legg-calve-perthes disease
hsa-mir-451a,allergic asthma
hsa-mir-590,renal fibrosis
hsa-mir-4306,"squamous cell carcinoma, oral"
hsa-mir-134,osteonecrosis
hsa-mir-374b,paratuberculosis
hsa-mir-1302-1,"leishmaniasis, visceral"
hsa-mir-520e,"influenza, human"
hsa-mir-4291,growth hormone-secreting pituitary adenoma
hsa-mir-1296,"carcinoma, pancreatic ductal"
hsa-mir-3149,"lymphoma, non-hodgkin"
hsa-mir-3120,frailty
hsa-mir-6880,bronchiolitis obliterans
hsa-mir-1271,mycosis fungoides
hsa-mir-204,rhabdomyosarcoma
hsa-mir-202,arterial calcification of infancy
hsa-mir-6852,cerebral cavernous malformations
hsa-mir-1910,"colorectal neoplasms, hereditary nonpolyposis"
hsa-mir-365a,papillomaviridae
hsa-mir-3196,"thyroiditis, autoimmune"
hsa-mir-3120,liver diseases
hsa-mir-147a,borna disease
hsa-mir-516b-2,pancreatic adenocarcinoma
hsa-mir-483,cardiovascular diseases
hsa-mir-548am,microvascular disease
hsa-mir-661,hypersensitivity
hsa-mir-4306,hepatic veno-occlusive disease
hsa-mir-1288,myelodysplastic syndromes
hsa-mir-1231,spinal cord injuries
hsa-mir-550a-2,lung injury
hsa-mir-3619,"malaria, falciparum"
hsa-mir-1-1,"carcinoma, renal cell, chromophobe"
hsa-mir-2355,medulloblastoma
hsa-mir-4717,endometriosis
hsa-mir-6875,dementia
hsa-mir-429,hemophilia a
hsa-mir-1910,colorectal adenocarcinoma
hsa-mir-4476,lung diseases
hsa-mir-378b,legg-calve-perthes disease
hsa-mir-194-2,rhinosinusitis
hsa-mir-144,pancreatic neoplasms
hsa-mir-1302-5,hypertrophy
hsa-mir-185,severe acute respiratory syndrome
hsa-mir-568,frailty
hsa-mir-129-2,infection
hsa-mir-520g,coronavirus infections
hsa-mir-186,tibial meniscus injuries
hsa-mir-1268b,"anemia, sickle cell"
hsa-mir-564,hiv-associated lipodystrophy syndrome
hsa-mir-186,hyperaldosteronism
hsa-mir-1203,retinitis pigmentosa
hsa-mir-941-3,thymoma
hsa-mir-583,peripheral nervous system diseases
hsa-mir-96,seminoma
hsa-mir-487b,hepatoblastoma
hsa-mir-517b,diarrhea
hsa-mir-3135b,obesity
hsa-mir-190a,adenosquamous pancreas carcinoma
hsa-mir-5584,non specific chronic endometritis
hsa-mir-633,vulvar neoplasms
hsa-mir-208a,"carcinoma, hepatocellular, hbv-related"
hsa-mir-4742,respiratory system disease
hsa-mir-135a-2,cholangiocarcinoma
hsa-mir-499b,follicular atresia
hsa-mir-1343,diabetic encephalopathy
hsa-mir-135b,small intestine carcinoma
hsa-mir-297,"cholangitis, sclerosing"
hsa-mir-642b,hepatitis b
hsa-mir-548e,sciatic nerve injury
hsa-mir-451b,"hepatitis, autoimmune"
hsa-mir-380,immune system diseases
hsa-mir-646,mitral valve disease
hsa-mir-1302-2,"carcinoma, ovarian, clear cell"
hsa-mir-146a,gallbladder neoplasms
hsa-mir-320c-1,"sarcoma, endometrial stromal"
hsa-mir-3171,infection
hsa-mir-4298,leprosy
hsa-mir-4784,"lymphoma, t-cell, cutaneous"
hsa-mir-4291,burkitt lymphoma
hsa-mir-3175,uterine carcinosarcoma
hsa-mir-6775,legg-calve-perthes disease
hsa-mir-891a,hyperhomocysteinemia
hsa-mir-1302-3,"scleroderma, localized"
hsa-mir-586,rheumatic myocarditis
hsa-mir-589,"aortic aneurysm, abdominal"
hsa-mir-200a,coronary artery disease
hsa-mir-4511,"thyroid carcinoma, anaplastic"
hsa-mir-671,antiphospholipid syndrome
hsa-mir-1202,hyperlipoproteinemia type iii
hsa-mir-181a-1,"angina, unstable"
hsa-mir-885,dermatomyositis
hsa-mir-3658,"carcinoma, neuroendocrine"
hsa-mir-141,fibrosarcoma
hsa-mir-7705,muscular diseases
hsa-mir-6867,"chromosome 22q11.2 deletion syndrome, distal"
hsa-mir-1303,distal myopathies
hsa-mir-6069,"leukoplakia, oral"
hsa-mir-7107,charcot-marie-tooth disease
hsa-mir-149,proliferative glomerulonephritis
hsa-mir-550b-1,"squamous cell carcinoma, skin or unspecific"
hsa-mir-1277,childhood leukemia
hsa-mir-1285-2,frontotemporal lobar degeneration
hsa-mir-4736,neutropenia
hsa-mir-3179-1,hematologic neoplasms
hsa-mir-1843,"anemia, aplastic"
hsa-mir-4301,osteopetrosis
hsa-mir-101-1,"malaria, falciparum"
hsa-mir-1305,nut midline carcinoma
hsa-mir-1260a,nervous system diseases
hsa-mir-885,"scleroderma, localized"
hsa-mir-518b,"influenza, human"
hsa-mir-202,"fibromatosis, aggressive"
hsa-mir-1277,behcet syndrome
hsa-mir-192,borna disease
hsa-mir-4732,listeriosis
hsa-mir-199a-2,staphylococcal scalded skin syndrome
hsa-mir-6068,immune system diseases
hsa-mir-5004,cystic fibrosis
hsa-mir-3654,"arthritis, rheumatoid"
hsa-mir-4429,glomerulonephritis
hsa-mir-299,"carcinoma, pancreatic ductal"
hsa-mir-1273c,"heart defects, congenital"
hsa-mir-1302-7,proliferative vitreoretinal disease
hsa-mir-544a,cardiac fibrosis
hsa-mir-550a-3,adrenocortical carcinoma
hsa-mir-379,vulvar neoplasms
hsa-mir-942,cocaine-related disorders
hsa-mir-200a,peritoneal fibrosis
hsa-mir-769,ovarian germ cell cancer
hsa-mir-585,gallstones
hsa-mir-300,"sleep apnea, obstructive"
hsa-mir-512-1,"infertility, male"
hsa-mir-1295b,cardio-renal syndrome
hsa-mir-378g,asthenozoospermia
hsa-mir-6886,"carcinoma, basal cell"
hsa-mir-4458,legg-calve-perthes disease
hsa-mir-4487,wounds and injuries
hsa-mir-637,"squamous cell carcinoma, tongue"
hsa-mir-221,vascular myelopathy
hsa-mir-130a,"cardiomyopathy, alcoholic"
hsa-mir-3924,"carcinoma, thyroid, papillary"
hsa-mir-4496,cerebral cavernous malformations
hsa-mir-3149,celiac disease
hsa-mir-509-1,corneal neovascularization
hsa-mir-4664,cone dystrophy
hsa-mir-30c-2,chorioamnionitis
hsa-mir-4721,"liver failure, acute"
hsa-mir-421,neuronal apoptosis-related diseases
hsa-mir-153-2,ependymoma
hsa-mir-4270,multiple myeloma
hsa-mir-196b,skin neoplasms
hsa-mir-937,breast adenocarcinoma
hsa-mir-524,cholangiocarcinoma
hsa-mir-103b-2,"squamous cell carcinoma, esophageal"
hsa-let-7b,fatty liver
hsa-mir-1226,colorectal neoplasms
hsa-mir-5590,"hypoxia-ischemia, brain"
hsa-mir-196b,"diabetes mellitus, type 1"
hsa-mir-548c,kidney neoplasms
hsa-mir-1237,reperfusion injury
hsa-mir-425,"carcinoma, periampullary"
hsa-mir-7702,"glomerulosclerosis, focal segmental"
hsa-mir-6508,cholesteatoma
hsa-mir-92b,"corneal dystrophies, hereditary"
hsa-mir-98,hepatitis e
hsa-mir-4648,neuroinflammation
hsa-mir-96,gastric cardia adenocarcinoma
hsa-mir-378e,diabetic cataract
hsa-mir-98,retinitis pigmentosa
hsa-mir-491,wound healing
hsa-mir-9-2,cardiomegaly
hsa-mir-3171,myxoma
hsa-mir-4480,hearing disorders
hsa-mir-550b-1,nasopharyngeal neoplasms
hsa-mir-208a,cardiomyopathies
hsa-mir-518a-2,chemical and drug induced liver injury
hsa-mir-3658,"hemorrhagic fever, ebola"
hsa-mir-23b,diabetic neuropathies
hsa-mir-1224,cognitive dysfunction
hsa-mir-1275,head and neck neoplasms
hsa-mir-103a-1,sertoli cell-only syndrome
hsa-mir-583,liposarcoma
hsa-mir-643,"leukemia, myeloid, acute, pediatric"
hsa-mir-3646,hemoglobinopathies
hsa-mir-519d,graft vs host disease
hsa-mir-323b,liver cirrhosis
hsa-mir-4687,reperfusion injury
hsa-mir-299,reproductive system disease
hsa-mir-433,chikungunya fever
hsa-mir-127,pancreatic serous cystic neoplasm
hsa-mir-151a,diabetic nephropathies
hsa-mir-4257,epstein-barr virus infections
hsa-mir-3130-1,antiphospholipid syndrome
hsa-mir-4458,feingold syndrome
hsa-mir-374c,"carcinoma, hepatocellular, hbv-related"
hsa-mir-656,spinal stenosis
hsa-mir-4497,hyperglycemia
hsa-mir-655,hyperlipidemias
hsa-mir-502,cardiometabolic disorders
hsa-mir-375,nevus
hsa-mir-4279,recurrent wheezing
hsa-mir-3649,fabry disease
hsa-mir-199a-1,"muscular dystrophy, facioscapulohumeral"
hsa-mir-372,meningioma
hsa-mir-320c-1,allergic asthma
hsa-mir-1973,"malaria, cerebral"
hsa-mir-623,"niemann-pick disease, type c"
hsa-mir-875,vascular myelopathy
hsa-mir-1206,"carcinoma, transitional cell"
hsa-mir-23c,"infertility, male"
hsa-mir-499a,coronary restenosis
hsa-mir-1277,pulmonary heart disease
hsa-mir-520d,"thyroiditis, autoimmune"
hsa-mir-3130-2,"leukemia, promyelocytic, acute"
hsa-mir-149,myelodysplastic syndromes
hsa-mir-3185,pulmonary embolism
hsa-mir-29b-2,endomyocardial fibrosis
hsa-mir-660,liver failure
hsa-mir-195,nasopharyngeal neoplasms
hsa-mir-3677,periodontal diseases
hsa-mir-612,"carcinoma, periampullary"
hsa-mir-4458,"carcinoma, pancreatic"
hsa-mir-2110,"adenocarcinoma, lung"
hsa-mir-4487,hyperlipidemias
hsa-mir-874,gastrointestinal stromal tumors
hsa-mir-5584,"carcinoma, thyroid, papillary"
hsa-mir-3686,"leukemia, lymphoblastic, acute, b-cell"
hsa-mir-3682,spinal stenosis
hsa-mir-454,uterine corpus myxoid leiomyosarcoma
hsa-mir-449a,brain diseases
hsa-mir-1267,ileus
hsa-mir-26b,retinitis pigmentosa
hsa-mir-335,muscular diseases
hsa-mir-638,hidradenitis suppurativa
hsa-mir-4706,atherosclerosis
hsa-mir-510,vulvar squamous tumor
hsa-mir-4291,fanconi anemia
hsa-mir-497,li-fraumeni syndrome
hsa-mir-509-2,rheumatic heart disease
hsa-mir-1246,bone diseases
hsa-mir-431,seminoma
hsa-mir-1277,"carcinoma, signet ring cell"
hsa-mir-3179-2,"neovascularization, pathologic"
hsa-mir-1303,intellectual disability
hsa-mir-196a-2,ovarian diseases
hsa-mir-3908,hearing disorders
hsa-mir-4500,schizophrenia
hsa-mir-1302-3,"lymphohistiocytosis, hemophagocytic"
hsa-mir-384,phyllodes tumor
hsa-mir-589,wound healing
hsa-mir-891a,hemophilia a
hsa-mir-29b-2,sarcomatoid mesothelioma
hsa-mir-455,uterine corpus endometrial carcinoma
hsa-mir-4489,burns
hsa-mir-345,"lymphoma, mantle-cell"
hsa-mir-550a-1,myocardial ischemia
hsa-mir-548k,neurilemmoma
hsa-mir-7847,cardiovascular diseases
hsa-mir-646,"carcinoma, ovarian, clear cell"
hsa-mir-3185,"epilepsy, temporal lobe"
hsa-mir-510,periodontitis
hsa-mir-7847,"cystitis, interstitial"
hsa-mir-221,severe acute respiratory syndrome
hsa-mir-892a,metabolic diseases
hsa-mir-591,cutaneous lupus erythematosus
hsa-mir-27b,cerebral infarction
hsa-mir-525,schizophrenia
hsa-mir-761,ganglioglioma
hsa-mir-346,pediatric osteosarcoma
hsa-mir-938,"lymphoma, mantle-cell"
hsa-mir-3941,"rhinitis, allergic, perennial"
hsa-mir-584,"myasthenic syndromes, congenital"
hsa-mir-708,"lymphoma, t-cell"
hsa-mir-4739,porphyromonas gingivalis
hsa-mir-6068,prostatic neoplasms
hsa-mir-601,lupus nephritis
hsa-mir-516a-2,fragile x syndrome
hsa-mir-1297,fibromyalgia
hsa-mir-421,graves disease
hsa-mir-197,proliferative diabetic retinopathy
hsa-mir-135a-1,white spot syndrome virus 1
hsa-mir-1915,"adenocarcinoma, gastric-esophageal junction"
hsa-mir-548an,"liver diseases, alcoholic"
hsa-mir-1275,ocular motility disorders
hsa-mir-4531,coronary artery disease
hsa-mir-499a,"cicatrix, hypertrophic"
hsa-mir-125b-2,proliferative vitreoretinal disease
hsa-mir-3147,retinal vascular disease
hsa-mir-505,mitochondrial diseases
hsa-mir-199a-1,borna disease
hsa-mir-618,"depressive disorder, major"
hsa-mir-155,li-fraumeni syndrome
hsa-mir-874,salivary gland neoplasms
hsa-mir-3714,ependymoma
hsa-mir-4436b-2,neurilemmoma
hsa-mir-3651,gliosis
hsa-mir-1233-1,"chromosome 22q11.2 deletion syndrome, distal"
hsa-mir-124-3,diabetic peripheral neuropathy
hsa-mir-4784,early-stage gastric carcinoma
hsa-mir-1282,"tuberculosis, pulmonary"
hsa-mir-378h,frontotemporal dementia
hsa-mir-521-2,dementia
hsa-mir-140,multiple system atrophy
hsa-mir-1234,"adenocarcinoma, esophageal"
hsa-mir-4534,diabetic encephalopathy
hsa-mir-597,"kidney failure, chronic"
hsa-mir-3619,cataract
hsa-mir-224,diabetic cataract
hsa-mir-144,fatty liver
hsa-mir-411,peritonitis
hsa-mir-3195,cystic fibrosis
hsa-mir-1976,sepsis
hsa-mir-142,vitiligo
hsa-mir-942,cardiac fibrosis
hsa-mir-659,"arrhythmias, cardiac"
hsa-mir-3130-1,osteoarthritis
